state_idx,cos_sim,mean_A,mean_g_norm_sq,v_unbiased_norm,v_intentional_norm
225,0.98819942732655,0.004072695537279609,132727.78341992188,0.46032053232192993,3.4107099509128602e-06
226,0.9956799229524654,0.0026008176158586038,158003.46957421876,0.37965628504753113,2.60040860666777e-06
227,0.9719966319792779,0.005450660547434907,168657.9603144531,0.30758699774742126,2.180538558604894e-06
228,0.9874960216390699,0.00024053084353534927,295973.7754140625,1.0175650119781494,3.6145709145785077e-06
229,0.6595490884739398,0.031082346788296605,229412.09416601562,1.046558141708374,6.168782874738099e-06
230,0.9352981540200589,-0.018817729415562617,226370.30909960938,3.830763816833496,1.6494528608745895e-05
231,0.540992579584633,0.08881365873114097,176079.05641796876,1.4457695484161377,1.8419061234453693e-05
232,0.997039625743246,0.00010029897395565835,102076.8122421875,0.4790019989013672,4.7937792260199785e-06
233,0.9917365271741181,0.0021322740228978646,102422.08285351562,0.40479159355163574,3.9809315239836e-06
234,0.9985739448388387,-0.0015795545301611545,113482.24473828125,0.38565999269485474,3.564634653230314e-06
235,0.9917187124140012,0.0030039588116892594,107024.72147949219,0.3283044695854187,3.4883989883383038e-06
236,0.9084697217500539,0.013293340642356608,112000.44430371093,0.4191863238811493,4.316481863497756e-06
237,0.9755684376229666,0.007891648322382323,107173.46793896484,0.4123936891555786,4.427057774591958e-06
238,0.9296830519458085,-0.009474505681468827,108664.34860546875,0.3517395555973053,3.3778865144995507e-06
239,0.9923452098829891,-0.002760712821878409,110038.48233496094,0.2838691771030426,2.615796120153391e-06
240,0.9648519144060153,-0.0010684112650364672,115030.61936914062,0.0714697614312172,5.410028052210691e-07
241,0.9835871593898801,0.002019207260870912,138704.53588476562,0.15388688445091248,1.2844881212004111e-06
242,0.8681097570362144,-0.007783252694996637,187510.87812402344,0.17864935100078583,1.2499536978793913e-06
243,0.6795645770747024,0.028122989418952523,257945.9181640625,0.6883527636528015,2.509121486582444e-06
244,0.9871623475779258,-0.002790767708097671,359355.7183007813,1.3342267274856567,4.151944722252665e-06
245,0.5542933458221562,0.012850340262549447,288936.98300390627,0.46767544746398926,2.37203039432643e-06
